File,Form,Fee,Ordered,Completed,Days,Client,Type,Area,FHA
1372star,COND,350,2017-08-14,2017-09-12,29,FmNB,2,1,N
5280mead,URAR,360,2017-08-16,2017-08-25,9,SMC,2,7,N
3874pige,URAR,150,2017-08-16,2017-08-25,9,SMC,1,10,N
11180peac2,2055i,275,2017-08-21,2017-08-25,4,WSCB,3,5,N
7641pine2,URAR,500,2017-08-21,2017-08-29,8,SMC,1R,7,N
2413lake,URAR,360,2017-08-23,2017-08-30,7,SMC,2,15,N
3602barr,COND,360,2017-08-23,2017-08-31,8,SMC,1R,7,N
5110erie,2055,150,2017-08-24,2017-09-01,8,FFCU,3,12,N
9922kent,2055,300,2017-08-24,2017-09-01,8,FmNB,3,15,N
2465saga,URAR,425,2017-08-24,2017-09-05,12,HSF,1R,16,Y
738fran,URAR,360,2017-08-28,2017-09-06,9,SMC,1,9,N
2104marg,2055,150,2017-08-28,2017-09-07,10,FFCU,3,9,N
514beld,URAR,350,2017-08-28,2017-09-18,21,FmNB,2,2,N
1627spri,URAR,350,2017-08-28,2017-09-20,23,FmNB,2,2,N
1340yale2,Mult,500,2017-08-28,2017-09-22,25,FmNB,2,1,N
5730vant,URAR,360,2017-08-30,2017-09-02,3,SMC,1R,7,N
357wate,2055,300,2017-09-01,2017-09-08,7,TCSB,3,30,N
6375bosf,2055i,300,2017-09-01,2017-09-10,9,Owner,3,8,N
700-32,2055,290,2017-09-01,2017-09-11,10,FmNB,3,9,N
804wood,URAR,350,2017-09-01,2017-09-13,12,TCSB,1R,1,N
9347erie,Insp,100,2017-09-05,2017-09-07,2,FmNB,5,,N
8790mudb,URAR,360,2017-09-05,2017-09-14,9,SMC,1,7,N
2415lind,Insp,100,2017-09-06,2017-09-12,6,FmNB,5,,N
3811sher,URAR,300,2017-09-06,2017-09-18,12,FFCU,1R,17,N
1828wood,URAR,410,2017-09-06,2017-09-19,13,SMC,1R,10,Y
3518crow,URAR,360,2017-09-07,2017-09-18,11,SMC,1R,8,N
12541clev2,URAR,350,2017-09-08,2017-09-20,12,TCSB,2,15,N
8750elmf,2055i,275,2017-09-08,2017-09-22,14,WSCB,3,12,N
424park,URAR,300,2017-09-11,2017-09-27,16,FFCU,2,11,N
98east2,URAR,350,2017-09-12,2017-10-03,21,FmNB,2,15,N
2351love,URAR,410,2017-09-13,2017-09-25,12,SMC,1R,15,Y
5154birk3,URAR,375,2017-09-13,2017-09-26,13,HSF,2,,N
3287hunt,Insp,100,2017-09-14,2017-09-19,5,TCSB,5,,N
11456poor,2055,300,2017-09-15,2017-09-25,10,FmNB,3,11,N
2465saga,1004d,100,2017-09-18,2017-09-19,1,HSF,5,16,N
3335mead,URAR,360,2017-09-18,2017-09-27,9,SMC,1R,8,N
15454orrv,URAR,350,2017-09-19,2017-09-29,10,FmNB,1,10,N
1668wood,URAR,400,2017-09-19,2017-09-29,10,HSB,1,6,N
7800diam,URAR,360,2017-09-19,2017-10-03,14,SMC,1R,7,N
9347erie,Insp,100,2017-09-22,2017-09-26,4,FmNB,5,,N
1424chan,Cond,360,2017-09-26,2017-10-04,8,SMC,1R,8,N
210trem2,2055,150,2017-09-26,2017-10-06,10,FFCU,3,9,N
645waba,URAR,350,2017-09-26,2017-10-13,17,FFCU,1,9,N
12384cant,URAR,360,2017-09-26,2017-10-14,18,SMC,2,15,N
844milb,2055,150,2017-09-27,2017-10-06,9,FFCU,3,9,N
149-6th2,2055,290,2017-09-28,2017-10-05,7,FmNB,3,11,N
5952lind,URAR,410,2017-09-28,2017-10-10,12,SMC,1R,6,Y
1025brus,URAR,350,2017-09-28,2017-10-12,14,TCSB,2,6,N
3503birc,2055i,275,2017-10-02,2017-10-10,8,FCB,3,1,N
11211fort,2055,300,2017-10-05,2017-10-16,11,FmNB,3,10,N
4416gree,URAR,425,2017-10-05,2017-10-16,11,HSF,1R,6,Y
2110summ,URAR,360,2017-10-05,2017-10-16,11,SMC,2,6,N
2415lind,Insp,100,2017-10-06,2017-10-12,6,FmNB,5,,N
664scot,URAR,360,2017-10-06,2017-10-17,11,SMC,1R,9,N
273main,URAR,300,2017-10-10,,,FFCU,2,11,N
valleybr,URAR,400,2017-10-12,2017-10-19,7,FmNB,1,16,N
2534midv,2055,300,2017-10-13,2017-10-20,7,FmNB,3,6,N
704nort,URAR,375,2017-10-13,2017-10-23,10,FCB,1R,9,N
4614dueb,URAR,375,2017-10-13,2017-10-23,10,FNBPAA,1R,17,N
1130lane2,2055,150,2017-10-13,2017-10-24,11,FFCU,3,9,N
5550dorr,Cond,360,2017-10-13,2017-10-25,12,SMC,1R,6,N
9756gerd,URAR,360,2017-10-16,2017-10-26,10,SMC,2,18,N
1822fair,1004c,375,2017-10-16,2017-10-27,11,FCB,1R,16,N
587-23,2055,150,2017-10-18,2017-10-26,8,FFCU,3,9,N
7131shad,URAR,360,2017-10-19,,,SMC,2,7,N
9347erie,Insp,100,2017-10-20,2017-10-23,3,FmNB,5,,N
623summ,URAR,400,2017-10-20,2017-10-30,10,HSB,1R,5,Y
3945thun,URAR,410,2017-10-20,2017-10-30,10,SMC,1R,5,Y
1640cher,URAR,375,2017-10-20,2017-10-31,11,FCB,1,2,N
1361shel,URAR,350,2017-10-23,2017-11-01,9,FmNB,2,6,N
7408gale,URAR,360,2017-10-23,2017-11-01,9,SMC,1R,7,N
7912gree2,URAR,400,2017-10-23,2017-11-03,11,FmNB,1,7,N
5847gart,2055i,275,2017-10-24,2017-11-07,14,Owner,3,7,N
163hill,URAR,350,2017-10-25,2017-11-06,12,FFCU,1R,1,N
2760reld,URAR,360,2017-10-26,2017-11-07,12,SMC,2,10,N
664cher,MULT,500,2017-10-26,2017-11-08,13,ACBC,1R,12,N
9347erie,1004d,100,2017-10-30,2017-11-01,2,FmNB,5,,N
1130lane3,2055i,225,2017-10-30,2017-11-10,11,FFCU,3,9,N
2575puma,2055,150,2017-11-02,2017-11-09,7,FFCU,3,6,N
3272corn,2055,275,2017-11-02,2017-11-10,8,FCB,3,7,N
811oakc,URAR,360,2017-11-02,2017-11-14,12,SMC,2,9,N
5215nave,URAR,375,2017-11-02,2017-11-16,14,FCB,1,8,N
1629trem,2055,300,2017-11-06,2017-11-14,8,FmNB,3,9,N
westfall,LAND,250,2017-11-06,2017-11-16,10,FmNB,1,16,N
1374pebb,1075,300,2017-11-07,2017-11-15,8,FmNB,3,9,N
2896suns,URAR,360,2017-11-07,2017-11-21,14,SMC,2,45,N
656tusc,URAR,350,2017-11-08,2017-11-18,10,FFCU,1,11,N
7971tarp2,MULT,450,2017-11-08,2017-11-22,14,SMC,2,7,N
13658geor,URAR,375,2017-11-10,2017-11-23,13,FCB,1,16,N
2928foxl,Insp,100,2017-11-15,2017-11-20,5,FmNB,5,,N
5852skyr,Insp,100,2017-11-15,2017-11-22,7,FmNB,5,,N
9492blou,URAR,350,2017-11-15,2017-11-23,8,FmNB,1R,11,N
777smys,Insp,100,2017-11-16,2017-11-20,4,FmNB,5,,N
12509brid,URAR,375,2017-11-16,2017-11-26,10,FCB,1,15,N
6607this,URAR,375,2017-11-16,2017-12-22,36,FCB,1,6,N
6089kinl2,URAR,360,2017-11-17,2017-11-27,10,SMC,2,7,N
49-5thse,MULT,450,2017-11-17,2017-12-04,17,ACBC,1,9,N
18-5thne,MULT,500,2017-11-17,2017-12-07,20,ACBC,1,9,N
2526carr,Insp,100,2017-11-20,2017-11-24,4,FmNB,5,,N
9282alab,2055,290,2017-11-20,2017-11-27,7,FmNB,3,11,N
6793glen,URAR,360,2017-11-20,2017-11-28,8,SMC,1R,7,N
5551high,URAR,375,2017-11-21,2017-12-15,24,ACBC,1,12,N
1831beau,2055i,250,2017-11-22,2017-11-29,7,Owner,2,10,N
850garf,URAR,375,2017-11-27,2017-12-05,8,FCB,1R,19,N
2415lind,Insp,100,2017-11-28,2017-11-30,2,FmNB,5,,N
8083surb,URAR,360,2017-11-28,2017-12-07,9,SMC,1R,5,N
15454orrv2,URAR,150,2017-11-29,2017-11-30,1,FmNB,1,10,N
69ohio3,2055,150,2017-11-29,2017-12-08,9,FFCU,3,11,N
819bitt,URAR,350,2017-11-30,,,FFCU,1R,9,N
9580mapl,URAR,360,2017-11-30,,,SMC,2,16,N
6687rave,MULT,500,2017-12-04,2017-12-14,10,SMC,1,7,Y
331comm,URAR,350,2017-12-04,2017-12-21,17,FmNB,1,9,N
2521conn,2055,150,2017-12-05,2017-12-11,6,FFCU,3,9,N
4715-14th,URAR,400,2017-12-05,2017-12-12,7,HSB,2,8,N
C-Nave,LAND,250,2017-12-05,2017-12-15,10,FCB,1,8,N
B-Nave,LAND,250,2017-12-06,2017-12-18,12,FCB,1,8,N
4349baby,URAR,360,2017-12-06,2017-12-19,13,SMC,2,8,N
226elmf,URAR,375,2017-12-07,2017-12-22,15,FCB,1R,8,N
1104linw,URAR,360,2017-12-13,2017-12-26,13,SMC,1,5,N
2600sawg,1075,150,2017-12-13,2017-12-27,14,FFCU,3,7,N
18591burk,1004d,100,2017-12-14,2017-12-18,4,FmNB,5,,N
4941shad,URAR,375,2017-12-14,2017-12-20,6,FCB,1,7,N
2490carl,Insp,100,2017-12-15,2017-12-18,3,FmNB,5,,N
5097lime,2055,300,2017-12-15,2017-12-26,11,FmNB,3,7,N
4547-2nd,URAR,400,2017-12-18,2017-12-29,11,FCB,1R,8,Y
westfall,URAR,350,2017-12-18,2017-12-31,13,FmNB,1,16,N
1180east,2055,300,2017-12-19,2017-12-29,10,FmNB,3,5,N
3673pipe,URAR,360,2017-12-19,2017-12-29,10,SMC,1R,7,N
4614dueb,1004d,100,2017-12-20,2017-12-27,7,FNBPAA,5,,N
7767oakd,2055,150,2017-12-21,2018-01-02,12,FFCU,5,7,N
797tamw,URAR,410,2017-12-26,2018-01-03,8,SMC,1,12,Y
222-19th,URAR,350,2017-12-27,2018-01-04,8,FFCU,2,9,N
4614dueb,1004d,100,2018-01-02,2018-01-08,6,FNBPAA,5,,N
2333love,URAR,360,2018-01-04,2018-01-10,6,SMC,1R,15,N
5015harm,URAR,360,2018-01-04,2018-01-11,7,SMC,1,6,N
2158fede,URAR,350,2018-01-04,2018-01-17,13,FmNB,1,19,N
15454orrv2,Insp,100,2018-01-08,2018-01-11,3,FmNB,5,,N
2490carl,Insp,100,2018-01-08,2018-01-11,3,FmNB,5,,N
10564rabb,URAR,360,2018-01-09,2018-01-16,7,SMC,1R,5,N
900mill,URAR,375,2018-01-10,2018-01-18,8,HNB,2,8,N
346-26th,2055,300,2018-01-11,2018-01-14,3,FMNB,3,8,N
65-23rd,2055,150,2018-01-12,2018-01-19,7,FFCU,3,9,N
1236tagg,URAR,410,2018-01-17,2018-01-25,8,SMC,1,7,N
376-27th,URAR,410,2018-01-18,2018-01-22,4,SMC,1,9,Y
5615west,URAR,360,2018-01-19,2018-01-30,11,SMC,1,7,N
3341high,2055i,200,2018-01-19,2018-01-30,11,Owner,3,9,N
1800bywo,2055,150,2018-01-22,2018-02-01,10,FFCU,3,17,N
376-27th,1004d,25,2018-01-23,2018-01-24,1,SMC,5,,N
3484indi,URAR,425,2018-01-24,2018-01-31,7,FCB,1R,16,Y
965wers,URAR,360,2018-01-24,2018-02-02,9,SMC,1R,5,N
440wers,URAR,360,2018-01-25,2018-02-06,12,SMC,1R,5,N
1723-11th,2055i,200,2018-01-26,2018-01-31,5,Owner,3,9,N
1719moun,URAR,375,2018-01-26,2018-02-03,8,FCB,1R,6,N
4126glen,Trip,100,2018-01-29,2018-02-05,7,SMC,5,,N
4745-13th,2055,125,2018-01-30,2018-02-07,8,Owner,3,8,N
5027shad,URAR,360,2018-01-30,2018-02-08,9,SMC,2,7,N
5west,URAR,360,2018-01-30,2018-02-08,9,SMC,1R,15,N
456dan,URAR,410,2018-01-31,2018-02-07,7,SMC,1R,12,Y
3452vine,URAR,400,2018-02-01,2018-02-14,13,HSB,2,7,N
6620kenn,URAR,350,2018-02-05,2018-02-10,5,FmNB,1R,7,N
710chap,URAR,425,2018-02-05,2018-02-14,9,FCB,1R,6,Y
2935geno,2055i,275,2018-02-06,2018-02-15,9,FCB,3,8,N
3828wood,URAR,360,2018-02-06,2018-02-20,14,SMC,2,7,N
1676parf,URAR,350,2018-02-07,2018-02-16,9,TCSB,2,8,N
6997emer,URAR,350,2018-02-07,2018-02-18,11,TCSB,2,7,N
2290jack,2055,150,2018-02-08,2018-02-12,4,FFCU,3,9,N
1501geno,2055,250,2018-02-09,2018-02-13,4,FCB,3,8,N
4843orch,URAR,425,2018-02-12,2018-02-19,7,FCB,1R,6,Y
3484indi,Insp,100,2018-02-13,2018-02-27,14,FCB,5,,N
6638this,URAR,375,2018-02-16,2018-02-20,4,FCB,1,6,N
2415augu,2055,300,2018-02-26,2018-03-02,4,FmNB,3,8,N
3420-35th,2055i,275,2018-02-26,2018-03-05,7,FCB,3,6,N
5661rave,URAR,410,2018-02-27,2018-03-09,10,SMC,2,13,N
6301bert,Trip,100,2018-02-28,2018-03-02,2,SMC,5,,N
9109high,URAR,410,2018-02-28,2018-03-07,7,SMC,2,15,N
2432vice,URAR,350,2018-02-28,2018-03-23,23,FFCU,2,10,N
736colo,URAR,425,2018-03-02,2018-03-08,6,HSF,1R,12,Y
1518pear,URAR,350,2018-03-06,2018-03-10,4,FmNB,2,9,N
VanBuren,LAND,300,2018-03-06,2018-03-12,6,FCB,1R,12,N
6256copp,URAR,360,2018-03-06,2018-03-13,7,SMC,1R,7,N
4511plai,2055,150,2018-03-07,2018-03-13,6,FFCU,3,17,N
5160tang2,URAR,400,2018-03-07,2018-03-14,7,WSCB,2,6,N
2490carl,Insp,100,2018-03-07,2018-03-15,8,FmNB,5,,N
8686rege,URAR,360,2018-03-07,2018-03-16,9,SMC,1,7,N
7947pusk,URAR,550,2018-03-07,2018-03-18,11,HSB,2,6,N
4550rohr,2055i,220,2018-03-08,2018-03-14,6,Owner,3,7,N
1045quee,Cond,350,2018-03-08,2018-03-16,8,FmNB,1,9,N
2529diam,URAR,360,2018-03-08,2018-03-20,12,SMC,1,6,N
byers,URAR,375,2018-03-08,2018-03-22,14,FCB,1,20,N
2415lind,1004d,100,2018-03-09,2018-03-15,6,FmNB,5,,N
10318orrv,2055,290,2018-03-09,2018-03-20,11,FmNB,3,10,N
15454orrv,Insp,100,2018-03-12,2018-03-15,3,FmNB,5,,N
2756kipl,MULT,500,2018-03-13,2018-03-24,11,FmNB,1R,7,N
westfall,Insp,100,2018-03-14,2018-03-20,6,FmNB,5,,N
4161glen,URAR,360,2018-03-14,2018-03-26,12,SMC,1R,7,N
252-22nd,URAR,360,2018-03-14,2018-03-27,13,SMC,1R,1,N
1221stua,2055i,150,2018-03-14,2018-03-29,15,Owner,3,7,N
Sherman,URAR,375,2018-03-15,2018-03-28,13,FCB,1,14,N
6391bert,URAR,360,2018-03-16,2018-03-29,13,SMC,1,7,N
710chap,Insp,100,2018-03-19,2018-03-21,2,FCB,5,,Y
12421linc,URAR,350,2018-03-21,2018-03-30,9,FFCU,1,10,N
1234plea,URAR,350,2018-03-23,2018-03-30,7,FmNB,1R,21,N
414lori,URAR,360,2018-03-23,2018-03-31,8,SMC,1R,9,N
valleybr,Insp,100,2018-03-26,2018-03-28,2,FmNB,5,,N
6333shen,URAR,360,2018-03-27,2018-04-04,8,SMC,1R,7,N
4640stev,URAR,375,2018-03-27,2018-04-08,12,FCB,1,8,N
8087orch,URAR,425,2018-03-28,2018-04-04,7,FCB,1R,5,Y
8560welt3,URAR,350,2018-03-28,2018-04-13,16,FmNB,2,11,N
7nave,URAR,375,2018-03-29,2018-04-05,7,FCB,1,8,N
46east4,URAR,500,2018-03-29,2018-04-11,13,SMC,1R,15,N
10905barr2,URAR,300,2018-03-29,2018-04-15,17,FFCU,2,10,N
217terr,URAR,350,2018-04-03,2018-04-12,9,FFCU,1R,9,N
6878timb2,URAR,425,2018-04-04,2018-04-10,6,HSB,1R,6,Y
2938vivi,URAR,360,2018-04-05,2018-04-16,11,SMC,1R,45,N
6011nava2,URAR,360,2018-04-05,2018-04-19,14,SMC,2,8,N
1510mill,URAR,360,2018-04-06,2018-04-26,20,SMC,2,10,N
1324wood,2055,150,2018-04-09,2018-04-13,4,FFCU,3,10,N
5910ball,URAR,375,2018-04-09,2018-04-20,11,FCB,1,7,N
4633plea,URAR,350,2018-04-10,2018-04-27,17,FFCU,2,8,N
7272ayrs,URAR,410,2018-04-11,2018-04-18,7,SMC,1R,6,Y
6300grot,Cond,375,2018-04-11,2018-04-24,13,FCB,1R,7,N
2321stan,2055,290,2018-04-12,2018-04-16,4,FmNB,3,9,N
9574mont2,URAR,360,2018-04-13,2018-04-30,17,SMC,2,7,N
11018fort,2055,150,2018-04-16,2018-04-25,9,FFCU,3,10,N
westfall,Insp,100,2018-04-17,2018-04-20,3,FmNB,5,,N
2819sick,URAR,360,2018-04-17,2018-04-25,8,SMC,1R,8,N
15454orrv,Insp,100,2018-04-18,2018-04-23,5,FmNB,5,,N
7150moss,URAR,360,2018-04-18,2018-04-30,12,SMC,1R,7,N
1111brow2,URAR,350,2018-04-18,2018-05-01,13,FFCU,1,5,N
1877spri,URAR,375,2018-04-19,2018-05-02,13,FCB,1R,8,N
5368isla,URAR,360,2018-04-20,2018-05-03,13,SMC,1R,7,N
2490carl,Insp,100,2018-04-23,2018-04-26,3,FmNB,5,,N
2163tenn,MULT,500,2018-04-23,2018-05-12,19,FmNB,2,8,N
3409croy2,URAR,360,2018-04-24,2018-05-04,10,SMC,2,6,N
4595brig,2055,150,2018-04-24,,,FFCU,3,10,N
430stua,URAR,375,2018-04-30,2018-05-07,7,FCB,1R,7,N
1221delv,URAR,350,2018-04-30,2018-05-08,8,FmNB,2,8,N
2103alab,URAR,375,2018-05-01,2018-05-09,8,FCB,1,10,N
7392stra,1004c,350,2018-05-01,2018-05-11,10,FmNB,2,7,N
5200leon,URAR,300,2018-05-02,2018-05-14,12,FFCU,2,8,N
9395hunt,URAR,360,2018-05-03,2018-05-14,11,SMC,1R,7,N
valleybr,Insp,100,2018-05-04,2018-05-07,3,FmNB,5,,N
6141skyr,URAR,350,2018-05-04,2018-05-16,12,FmNB,2,13,N
5015harm2,URAR,360,2018-05-04,2018-05-17,13,SMC,2,6,N
6125tusc,URAR,375,2018-05-07,2018-05-15,8,FCB,1R,7,N
9305albe,URAR,375,2018-05-07,2018-05-19,12,FCB,1,20,N
1405-35,URAR,360,2018-05-09,2018-05-21,12,SMC,1R,6,N
7369mott,URAR,450,2018-05-09,2018-05-22,13,FmNB,1,18,N
470gros,URAR,375,2018-05-10,2018-05-21,11,FCB,1R,9,N
2928ayle,URAR,360,2018-05-11,2018-05-24,13,SMC,1R,5,N
702-26th,URAR,360,2018-05-11,2018-05-26,15,SMC,1R,2,N
12031rudy,2055,150,2018-05-14,2018-05-25,11,FFCU,3,10,N
4920arbo,URAR,375,2018-05-14,,,FCB,1,8,N
700-32nd2,URAR,350,2018-05-15,,,FmNB,2,9,N
6161sand,URAR,360,2018-05-16,,,SMC,1R,7,N
1668wood,1004d,150,2018-05-17,2018-05-26,9,HSB,5,,N
11080coru,2055,300,2018-05-17,,,FmNB,3,10,N
4054harb,2055i,100,2018-05-18,2018-05-25,7,Owner,3,8,N
3764ashw,URAR,350,2018-05-18,,,FFCU,1,6,N
2100livi,URAR,360,2018-05-18,,,SMC,1R,12,N
13127kimm,URAR,350,2018-05-21,,,FmNB,2,10,N
1121laur,2055,300,2018-05-22,,,FmNB,3,5,N
1geno,URAR,375,2018-05-23,,,FCB,2,8,N
8349gent,URAR,360,2018-05-23,,,SMC,1R,7,N
11015woos,2055,300,2018-05-24,,,FmNB,3,10,N
westfall,Insp,100,2018-05-24,,,FmNB,5,,N
556earl,URAR,350,2018-05-25,,,FFCU,1,10,N
